Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,multiple_deliveries,City,Time_taken(min),Distance
37,5.0,Sandstorms,Low ,Snack ,motorcycle ,0,Urban ,17,14.045
36,4.7,Sandstorms,Medium ,Meal ,motorcycle ,1,Metropolitian ,30,13.895
31,4.9,Fog,Medium ,Buffet ,motorcycle ,0,Urban ,35,12.257
39,4.2,Sunny,Jam ,Drinks ,motorcycle ,2,Metropolitian ,38,11.917
23,4.3,Stormy,Jam ,Meal ,motorcycle ,1,Metropolitian ,31,20.254
21,5.0,Sunny,Low ,Snack ,scooter ,0,Metropolitian ,15,4.674
38,4.8,Sunny,Jam ,Snack ,motorcycle ,1,Metropolitian ,25,13.972
28,4.7,Cloudy,Low ,Meal ,scooter ,1,Metropolitian ,28,10.711
28,5.0,Windy,Low ,Meal ,motorcycle ,0,Metropolitian ,17,12.436
30,4.1,Windy,Jam ,Snack ,scooter ,1,Metropolitian ,44,12.464
34,4.9,Windy,Low ,Drinks ,scooter ,0,Metropolitian ,24,1.52
29,5.0,Cloudy,Low ,Drinks ,motorcycle ,1,Metropolitian ,24,1.52
35,4.9,Sandstorms,Medium ,Drinks ,scooter ,1,Metropolitian ,28,8.938
39,4.8,Windy,Low ,Buffet ,scooter ,1,Metropolitian ,23,3.027
23,4.6,Sandstorms,Low ,Meal ,motorcycle ,0,Urban ,12,4.682
30,4.9,Cloudy,Medium ,Drinks ,motorcycle ,1,Metropolitian ,25,6.059
28,4.8,Sandstorms,Low ,Meal ,scooter ,1,Urban ,17,13.681
20,4.8,Sandstorms,Low ,Meal ,scooter ,1,Metropolitian ,18,9.327
39,4.3,Windy,Medium ,Buffet ,motorcycle ,0,Metropolitian ,38,4.664
22,4.7,Sandstorms,Low ,Buffet ,motorcycle ,0,Metropolitian ,20,19.762
38,4.3,Stormy,Low ,Snack ,motorcycle ,1,Metropolitian ,26,1.537
25,4.6,Cloudy,Jam ,Snack ,scooter ,0,Metropolitian ,33,13.583
33,4.8,Fog,Jam ,Meal ,motorcycle ,0,Metropolitian ,30,9.326
35,4.8,Stormy,Medium ,Snack ,motorcycle ,1,Metropolitian ,28,12.42
20,4.6,Stormy,Medium ,Drinks ,motorcycle ,0,Metropolitian ,23,9.121
39,4.3,Sandstorms,Jam ,Buffet ,scooter ,1,Metropolitian ,32,13.99
30,4.8,Stormy,Low ,Snack ,scooter ,0,Metropolitian ,22,14.044
39,4.7,Fog,Jam ,Drinks ,electric_scooter ,2,Metropolitian ,39,9.327
24,4.9,Sandstorms,Medium ,Buffet ,motorcycle ,0,Urban ,21,10.881
37,4.3,Cloudy,Jam ,Buffet ,motorcycle ,0,Metropolitian ,31,4.588
33,4.8,Stormy,Low ,Buffet ,motorcycle ,1,Metropolitian ,27,3.091
26,4.9,Sunny,Medium ,Meal ,scooter ,1,Metropolitian ,19,6.218
21,4.5,Stormy,Low ,Snack ,motorcycle ,0,Urban ,18,10.817
21,4.7,Sandstorms,Low ,Drinks ,motorcycle ,1,Metropolitian ,16,1.509
27,4.9,Windy,Jam ,Meal ,scooter ,1,Urban ,16,16.853
26,4.7,Cloudy,Low ,Drinks ,motorcycle ,0,Metropolitian ,19,2.98
37,4.9,Sunny,Jam ,Meal ,motorcycle ,1,Metropolitian ,42,19.344
22,4.7,Windy,Jam ,Buffet ,scooter ,1,Urban ,20,17.078
32,4.9,Sandstorms,Low ,Meal ,motorcycle ,1,Metropolitian ,20,3.074
37,4.6,Windy,Medium ,Snack ,motorcycle ,2,Metropolitian ,41,13.83
33,4.7,Sandstorms,Jam ,Drinks ,motorcycle ,1,Metropolitian ,42,4.541
29,4.8,Stormy,Medium ,Buffet ,motorcycle ,0,Metropolitian ,25,20.183
37,4.3,Stormy,Medium ,Buffet ,scooter ,1,Metropolitian ,37,13.767
20,4.4,Stormy,Low ,Snack ,motorcycle ,1,Urban ,28,1.52
28,4.8,Sandstorms,Low ,Drinks ,motorcycle ,1,Urban ,22,10.724
23,5.0,Cloudy,Low ,Snack ,motorcycle ,0,Metropolitian ,13,4.528
39,4.9,Sunny,Medium ,Meal ,motorcycle ,0,Metropolitian ,38,20.206
35,4.9,Sandstorms,Jam ,Drinks ,motorcycle ,1,Metropolitian ,29,7.773
35,4.9,Fog,Low ,Snack ,scooter ,0,Metropolitian ,18,7.562
28,4.8,Sunny,Jam ,Meal ,scooter ,0,Metropolitian ,20,10.757
28,4.8,Stormy,Jam ,Meal ,electric_scooter ,1,Metropolitian ,25,7.574
38,4.7,Stormy,Medium ,Snack ,scooter ,1,Metropolitian ,28,6.232
38,4.7,Windy,High ,Drinks ,motorcycle ,1,Metropolitian ,30,6.082
22,4.9,Stormy,Low ,Meal ,motorcycle ,0,Metropolitian ,10,3.025
35,4.6,Fog,Low ,Snack ,scooter ,0,Metropolitian ,17,3.041
24,4.6,Fog,Low ,Snack ,scooter ,0,Urban ,19,1.514
21,4.6,Stormy,Medium ,Buffet ,motorcycle ,0,Metropolitian ,23,4.674
26,4.6,Windy,Low ,Meal ,motorcycle ,1,Metropolitian ,16,9.088
20,4.7,Fog,Low ,Drinks ,motorcycle ,1,Metropolitian ,13,3.105
28,4.7,Sunny,Medium ,Snack ,motorcycle ,0,Urban ,15,7.573
25,4.7,Windy,Jam ,Meal ,scooter ,1,Metropolitian ,27,7.547
28,4.5,Sandstorms,Medium ,Snack ,scooter ,1,Metropolitian ,20,10.722
36,4.3,Sandstorms,Medium ,Snack ,motorcycle ,1,Urban ,33,9.315
34,4.1,Windy,Low ,Meal ,motorcycle ,1,Urban ,30,3.059
33,4.6,Sandstorms,Low ,Drinks ,scooter ,0,Urban ,20,7.574
27,4.6,Fog,High ,Buffet ,motorcycle ,1,Metropolitian ,28,1.552
28,4.7,Cloudy,Jam ,Buffet ,motorcycle ,0,Metropolitian ,25,9.348
35,4.9,Sandstorms,Low ,Snack ,scooter ,1,Metropolitian ,22,1.558
28,4.0,Fog,High ,Drinks ,motorcycle ,1,Urban ,34,1.529
20,4.2,Sunny,Jam ,Drinks ,motorcycle ,1,Metropolitian ,46,9.316
33,5.0,Fog,High ,Snack ,electric_scooter ,1,Metropolitian ,29,6.081
24,4.7,Fog,High ,Snack ,scooter ,1,Metropolitian ,26,5.86
33,4.6,Windy,Jam ,Meal ,motorcycle ,1,Metropolitian ,34,4.658
20,4.8,Windy,Low ,Snack ,scooter ,1,Metropolitian ,18,12.103
25,4.5,Sandstorms,Medium ,Buffet ,motorcycle ,1,Metropolitian ,18,6.209
31,3.9,Windy,Medium ,Meal ,motorcycle ,1,Metropolitian ,38,17.098
21,4.7,Stormy,Low ,Meal ,scooter ,1,Metropolitian ,13,3.088
24,4.2,Stormy,Low ,Snack ,motorcycle ,1,Metropolitian ,22,2.976
39,5.0,Fog,Medium ,Drinks ,motorcycle ,1,Metropolitian ,37,13.83
20,4.6,Windy,Jam ,Buffet ,scooter ,1,Metropolitian ,19,13.761
29,5.0,Windy,Jam ,Meal ,motorcycle ,1,Metropolitian ,32,9.178
23,4.8,Fog,Low ,Drinks ,motorcycle ,1,Metropolitian ,17,1.513
36,4.1,Stormy,Low ,Drinks ,motorcycle ,0,Metropolitian ,25,9.327
38,4.6,Sunny,Medium ,Buffet ,motorcycle ,1,Metropolitian ,23,6.051
26,4.9,Fog,High ,Drinks ,motorcycle ,1,Metropolitian ,21,3.105
26,4.7,Windy,Low ,Snack ,scooter ,1,Metropolitian ,19,12.235
25,4.5,Stormy,Jam ,Meal ,motorcycle ,1,Metropolitian ,23,10.641
35,4.8,Stormy,High ,Meal ,scooter ,1,Urban ,27,1.513
29,5.0,Cloudy,Medium ,Meal ,motorcycle ,2,Metropolitian ,43,13.894
22,4.9,Fog,Medium ,Buffet ,electric_scooter ,1,Urban ,25,19.396
30,4.7,Fog,Jam ,Snack ,motorcycle ,3,Metropolitian ,47,19.363
32,5.0,Sunny,High ,Buffet ,motorcycle ,1,Metropolitian ,20,1.513
23,4.6,Sandstorms,Jam ,Buffet ,motorcycle ,1,Metropolitian ,19,13.407
26,4.9,Stormy,Jam ,Snack ,motorcycle ,0,Metropolitian ,30,10.906
28,4.6,Sunny,Medium ,Buffet ,scooter ,0,Metropolitian ,14,12.162
38,4.9,Sandstorms,Low ,Drinks ,scooter ,0,Metropolitian ,17,13.611
25,4.8,Sandstorms,Medium ,Buffet ,motorcycle ,1,Metropolitian ,22,4.61
26,5.0,Stormy,Jam ,Snack ,scooter ,1,Metropolitian ,28,12.117
39,4.9,Cloudy,High ,Snack ,motorcycle ,1,Metropolitian ,33,6.211
25,4.9,Stormy,Medium ,Snack ,scooter ,1,Metropolitian ,16,13.789
26,4.6,Fog,Low ,Meal ,motorcycle ,1,Metropolitian ,26,10.807
38,4.6,Cloudy,Low ,Meal ,motorcycle ,1,Urban ,23,1.51
24,4.6,Sunny,Jam ,Drinks ,scooter ,1,Metropolitian ,21,19.09
33,4.6,Windy,Jam ,Buffet ,scooter ,1,Metropolitian ,29,16.637
30,4.7,Sunny,Medium ,Snack ,motorcycle ,0,Metropolitian ,20,16.902
33,4.7,Sunny,Jam ,Meal ,scooter ,1,Urban ,16,4.561
39,4.9,Cloudy,Jam ,Meal ,motorcycle ,1,Metropolitian ,33,9.315
26,4.9,Cloudy,Jam ,Drinks ,scooter ,3,Metropolitian ,43,19.976
28,4.7,Windy,Jam ,Buffet ,scooter ,1,Urban ,22,13.681
20,4.7,Windy,Jam ,Buffet ,electric_scooter ,1,Urban ,19,17.075
25,4.0,Cloudy,Medium ,Drinks ,electric_scooter ,1,Metropolitian ,34,19.977
29,4.9,Windy,Medium ,Snack ,motorcycle ,0,Metropolitian ,29,13.736
37,4.8,Stormy,Medium ,Drinks ,motorcycle ,1,Metropolitian ,30,7.646
32,4.9,Fog,Low ,Buffet ,scooter ,1,Urban ,16,1.492
22,4.8,Stormy,High ,Meal ,scooter ,0,Urban ,15,1.529
28,4.6,Cloudy,Jam ,Buffet ,scooter ,1,Urban ,39,12.293
25,4.7,Sandstorms,Low ,Buffet ,motorcycle ,1,Metropolitian ,16,16.853
39,4.9,Fog,Low ,Snack ,scooter ,1,Urban ,17,7.763
20,4.8,Sunny,Low ,Buffet ,scooter ,1,Urban ,20,2.979
31,4.5,Sandstorms,Low ,Drinks ,scooter ,0,Urban ,29,2.979
38,4.7,Cloudy,Low ,Buffet ,scooter ,0,Urban ,15,2.98
22,4.2,Stormy,Low ,Meal ,motorcycle ,1,Metropolitian ,18,3.03
33,3.9,Stormy,Medium ,Buffet ,scooter ,1,Urban ,34,16.389
24,4.6,Sandstorms,Medium ,Snack ,motorcycle ,1,Metropolitian ,26,12.464
23,5.0,Stormy,Jam ,Meal ,motorcycle ,1,Urban ,25,16.636
34,3.7,Cloudy,Low ,Snack ,scooter ,1,Metropolitian ,37,12.256
37,4.8,Fog,High ,Meal ,scooter ,1,Metropolitian ,29,3.074
21,4.9,Stormy,Jam ,Meal ,motorcycle ,0,Metropolitian ,18,20.848
38,5.0,Windy,Jam ,Buffet ,motorcycle ,2,Semi-Urban ,53,19.974
27,4.1,Sandstorms,Low ,Buffet ,motorcycle ,1,Metropolitian ,27,3.02
35,4.5,Fog,Low ,Drinks ,scooter ,1,Metropolitian ,39,12.239
25,4.7,Stormy,Medium ,Drinks ,electric_scooter ,1,Metropolitian ,18,13.971
30,5.0,Stormy,Low ,Meal ,scooter ,1,Urban ,20,17.098
36,4.3,Cloudy,Jam ,Buffet ,motorcycle ,1,Metropolitian ,31,4.674
30,4.1,Cloudy,Jam ,Buffet ,scooter ,1,Metropolitian ,49,13.829
28,4.7,Sunny,Low ,Drinks ,scooter ,0,Metropolitian ,18,1.558
24,4.9,Sandstorms,Low ,Meal ,motorcycle ,1,Metropolitian ,14,9.316
32,4.0,Cloudy,Jam ,Snack ,scooter ,1,Metropolitian ,35,10.906
22,4.5,Cloudy,Medium ,Drinks ,motorcycle ,0,Metropolitian ,21,7.772
31,4.6,Cloudy,Jam ,Buffet ,scooter ,1,Urban ,45,19.915
35,4.8,Stormy,Low ,Drinks ,motorcycle ,0,Urban ,25,3.121
22,4.6,Windy,Jam ,Snack ,scooter ,1,Urban ,25,11.92
32,4.7,Fog,Medium ,Drinks ,scooter ,1,Metropolitian ,16,7.546
39,4.1,Stormy,Medium ,Drinks ,motorcycle ,1,Metropolitian ,35,20.181
38,4.6,Sunny,Jam ,Buffet ,motorcycle ,1,Urban ,38,12.435
37,4.9,Cloudy,Low ,Meal ,motorcycle ,0,Metropolitian ,38,13.764
24,4.7,Fog,Jam ,Buffet ,motorcycle ,1,Urban ,39,10.57
32,4.7,Fog,Jam ,Buffet ,motorcycle ,0,Urban ,38,9.193
38,4.4,Stormy,Medium ,Meal ,motorcycle ,1,Metropolitian ,31,9.075
33,3.8,Stormy,Jam ,Buffet ,scooter ,1,Metropolitian ,44,10.564
28,4.0,Windy,Jam ,Buffet ,motorcycle ,0,Metropolitian ,38,10.725
20,4.6,Stormy,Low ,Drinks ,motorcycle ,0,Metropolitian ,14,20.254
36,4.0,Sandstorms,Jam ,Meal ,motorcycle ,1,Urban ,44,4.561
31,4.8,Stormy,Low ,Drinks ,motorcycle ,1,Metropolitian ,25,19.976
39,4.2,Stormy,Jam ,Drinks ,motorcycle ,3,Semi-Urban ,54,10.809
22,4.8,Cloudy,Low ,Drinks ,motorcycle ,0,Metropolitian ,25,17.138
31,4.4,Windy,Medium ,Drinks ,motorcycle ,1,Metropolitian ,35,13.764
37,4.6,Cloudy,Medium ,Drinks ,scooter ,1,Metropolitian ,30,20.179
30,4.8,Stormy,Low ,Snack ,scooter ,1,Metropolitian ,26,1.492
23,4.9,Fog,Jam ,Snack ,motorcycle ,1,Metropolitian ,30,12.421
32,4.4,Sandstorms,Jam ,Buffet ,motorcycle ,2,Metropolitian ,43,13.789
35,4.7,Fog,High ,Meal ,motorcycle ,0,Urban ,33,3.053
26,4.6,Stormy,Low ,Buffet ,motorcycle ,0,Urban ,11,3.041
28,5.0,Cloudy,Low ,Meal ,motorcycle ,0,Metropolitian ,20,12.099
30,4.0,Stormy,Low ,Drinks ,motorcycle ,1,Metropolitian ,27,7.461
20,4.6,Fog,Low ,Meal ,scooter ,1,Metropolitian ,15,3.121
32,4.8,Cloudy,Low ,Meal ,scooter ,1,Urban ,16,4.537
35,4.5,Cloudy,Low ,Snack ,electric_scooter ,1,Metropolitian ,19,9.22
21,4.7,Windy,Jam ,Snack ,motorcycle ,0,Urban ,21,12.42
33,4.7,Fog,Low ,Snack ,scooter ,1,Metropolitian ,30,19.66
30,4.4,Windy,High ,Meal ,motorcycle ,1,Metropolitian ,34,6.232
37,4.5,Windy,Jam ,Buffet ,scooter ,0,Urban ,25,12.21
22,4.0,Cloudy,Jam ,Meal ,motorcycle ,1,Metropolitian ,41,16.608
34,4.7,Sandstorms,Medium ,Snack ,motorcycle ,1,Urban ,27,8.94
23,4.9,Sandstorms,Jam ,Drinks ,motorcycle ,1,Metropolitian ,28,13.99
38,4.3,Sandstorms,Jam ,Drinks ,electric_scooter ,2,Metropolitian ,39,11.72
23,4.9,Windy,Low ,Buffet ,motorcycle ,0,Metropolitian ,15,13.97
20,4.6,Sunny,Low ,Drinks ,motorcycle ,0,Metropolitian ,28,12.162
25,4.6,Fog,Jam ,Drinks ,motorcycle ,1,Metropolitian ,37,12.117
37,4.7,Sunny,Medium ,Drinks ,motorcycle ,1,Metropolitian ,24,6.129
21,4.7,Cloudy,Low ,Snack ,motorcycle ,1,Metropolitian ,24,4.61
34,4.9,Sandstorms,Low ,Snack ,motorcycle ,1,Urban ,22,2.93
32,4.9,Windy,Jam ,Meal ,scooter ,1,Metropolitian ,25,19.042
26,4.9,Stormy,Medium ,Meal ,motorcycle ,1,Metropolitian ,27,12.293
36,4.9,Sandstorms,Low ,Snack ,scooter ,0,Metropolitian ,23,10.866
38,4.1,Stormy,Jam ,Drinks ,motorcycle ,1,Semi-Urban ,47,17.075
29,4.8,Fog,Medium ,Meal ,motorcycle ,1,Urban ,43,12.074
35,4.2,Sandstorms,Jam ,Snack ,motorcycle ,2,Metropolitian ,51,10.881
23,4.2,Cloudy,Medium ,Buffet ,scooter ,1,Urban ,31,13.611
31,4.6,Cloudy,Medium ,Meal ,motorcycle ,1,Metropolitian ,19,6.209
21,4.8,Sunny,Low ,Buffet ,motorcycle ,0,Metropolitian ,16,1.49
25,5.0,Fog,Low ,Drinks ,motorcycle ,1,Metropolitian ,18,9.315
37,4.0,Cloudy,Jam ,Buffet ,scooter ,1,Metropolitian ,36,13.406
28,4.6,Stormy,Jam ,Meal ,motorcycle ,1,Metropolitian ,26,19.396
35,4.9,Fog,Medium ,Buffet ,motorcycle ,0,Urban ,49,20.181
25,4.6,Cloudy,Medium ,Meal ,motorcycle ,1,Metropolitian ,35,10.906
36,4.8,Stormy,Low ,Buffet ,motorcycle ,0,Metropolitian ,23,3.02
31,3.5,Sandstorms,Jam ,Buffet ,scooter ,1,Metropolitian ,40,13.972
25,4.7,Cloudy,Medium ,Meal ,motorcycle ,0,Metropolitian ,24,7.79
34,4.9,Fog,Low ,Meal ,motorcycle ,0,Urban ,24,7.602
27,4.6,Fog,Low ,Drinks ,scooter ,1,Urban ,15,2.98
28,4.9,Fog,Jam ,Snack ,scooter ,1,Metropolitian ,38,16.412
37,4.5,Sandstorms,Jam ,Meal ,scooter ,1,Urban ,26,4.663
31,4.8,Sunny,Medium ,Meal ,scooter ,1,Urban ,17,16.637
28,4.9,Stormy,Medium ,Drinks ,scooter ,0,Metropolitian ,25,9.176
27,4.7,Windy,Jam ,Buffet ,scooter ,0,Urban ,20,20.887
28,4.5,Sunny,Medium ,Meal ,scooter ,1,Urban ,15,6.121
29,4.8,Cloudy,Jam ,Drinks ,motorcycle ,0,Metropolitian ,20,8.812
24,5.0,Windy,High ,Meal ,scooter ,0,Metropolitian ,12,3.105
34,4.9,Fog,Low ,Snack ,scooter ,1,Metropolitian ,17,7.461
21,4.7,Stormy,Low ,Buffet ,scooter ,0,Urban ,15,3.059
32,4.2,Sandstorms,Medium ,Meal ,motorcycle ,1,Metropolitian ,35,7.72
30,4.8,Cloudy,Medium ,Drinks ,motorcycle ,1,Metropolitian ,15,6.211
22,4.5,Stormy,Low ,Meal ,scooter ,0,Metropolitian ,18,9.074
32,4.6,Fog,Medium ,Snack ,motorcycle ,1,Urban ,25,5.959
35,4.8,Sandstorms,Medium ,Buffet ,motorcycle ,1,Urban ,28,8.953
30,4.6,Cloudy,Medium ,Snack ,motorcycle ,1,Metropolitian ,43,20.205
20,3.6,Sunny,Jam ,Buffet ,motorcycle ,3,Metropolitian ,46,4.538
22,4.9,Windy,Jam ,Meal ,motorcycle ,1,Metropolitian ,28,20.181
37,4.8,Fog,Jam ,Drinks ,motorcycle ,1,Metropolitian ,48,20.178
34,4.7,Sunny,Jam ,Drinks ,motorcycle ,1,Urban ,29,4.53
39,4.7,Windy,Jam ,Snack ,electric_scooter ,1,Metropolitian ,28,10.428
39,3.8,Sandstorms,Jam ,Meal ,scooter ,1,Urban ,42,10.726
25,4.6,Windy,Jam ,Snack ,motorcycle ,1,Metropolitian ,26,19.363
31,4.0,Cloudy,Jam ,Meal ,electric_scooter ,1,Metropolitian ,48,19.661
25,4.6,Windy,High ,Meal ,scooter ,1,Metropolitian ,21,3.025
29,4.6,Windy,Medium ,Buffet ,electric_scooter ,1,Urban ,21,7.79
29,4.8,Fog,Medium ,Snack ,scooter ,0,Metropolitian ,18,6.209
31,5.0,Windy,High ,Meal ,scooter ,1,Metropolitian ,28,6.218
27,4.8,Sunny,Low ,Buffet ,scooter ,1,Metropolitian ,19,7.661
32,5.0,Cloudy,Jam ,Meal ,motorcycle ,0,Metropolitian ,47,19.66
34,4.2,Fog,High ,Meal ,scooter ,1,Metropolitian ,37,6.05
21,4.8,Stormy,Low ,Snack ,motorcycle ,0,Metropolitian ,10,3.105
30,5.0,Sunny,Low ,Drinks ,electric_scooter ,1,Metropolitian ,19,3.041
38,4.4,Windy,Jam ,Meal ,motorcycle ,1,Urban ,32,13.969
34,3.7,Fog,Low ,Meal ,motorcycle ,2,Metropolitian ,33,13.973
32,4.6,Stormy,Low ,Drinks ,scooter ,1,Metropolitian ,28,2.938
20,4.9,Fog,Jam ,Drinks ,motorcycle ,1,Metropolitian ,37,16.154
23,5.0,Windy,Low ,Drinks ,motorcycle ,1,Metropolitian ,10,10.642
24,4.7,Windy,Low ,Buffet ,scooter ,0,Metropolitian ,12,13.788
26,5.0,Sandstorms,Jam ,Meal ,motorcycle ,0,Metropolitian ,18,14.022
33,4.3,Sandstorms,Medium ,Drinks ,motorcycle ,1,Urban ,35,16.82
31,4.9,Sunny,Low ,Snack ,electric_scooter ,1,Metropolitian ,19,3.02
21,4.7,Windy,Medium ,Snack ,motorcycle ,0,Metropolitian ,25,12.464
23,4.6,Fog,High ,Buffet ,electric_scooter ,1,Metropolitian ,30,1.488
36,4.2,Sandstorms,Low ,Drinks ,motorcycle ,0,Metropolitian ,34,1.49
22,4.3,Windy,Low ,Drinks ,motorcycle ,0,Metropolitian ,27,1.555
29,5.0,Windy,High ,Buffet ,scooter ,1,Metropolitian ,21,6.129
34,4.7,Sandstorms,Low ,Buffet ,scooter ,0,Urban ,19,12.418
24,4.5,Cloudy,Jam ,Snack ,motorcycle ,1,Metropolitian ,30,13.972
35,4.9,Sunny,Medium ,Snack ,motorcycle ,1,Metropolitian ,22,7.683
30,4.9,Cloudy,Medium ,Drinks ,motorcycle ,0,Metropolitian ,37,13.583
30,4.9,Sandstorms,Low ,Meal ,motorcycle ,0,Metropolitian ,21,20.854
33,4.8,Windy,Medium ,Buffet ,scooter ,1,Urban ,23,17.074
36,4.1,Sandstorms,Medium ,Buffet ,motorcycle ,0,Metropolitian ,46,10.867
39,4.8,Stormy,Low ,Meal ,scooter ,0,Metropolitian ,22,1.465
20,5.0,Sunny,Low ,Snack ,scooter ,0,Metropolitian ,22,3.018
32,4.3,Windy,Medium ,Snack ,motorcycle ,0,Metropolitian ,33,6.05
27,5.0,Stormy,Jam ,Snack ,scooter ,0,Metropolitian ,15,12.257
27,4.9,Windy,Jam ,Buffet ,motorcycle ,1,Metropolitian ,37,14.022
33,4.2,Windy,Medium ,Drinks ,motorcycle ,1,Urban ,35,4.657
30,5.0,Sunny,Low ,Snack ,motorcycle ,1,Metropolitian ,21,3.025
30,4.8,Sunny,Low ,Meal ,motorcycle ,1,Metropolitian ,12,4.61
21,4.2,Cloudy,Jam ,Meal ,scooter ,1,Metropolitian ,39,13.681
33,4.8,Stormy,Medium ,Drinks ,scooter ,1,Metropolitian ,30,10.706
37,4.7,Stormy,Low ,Buffet ,scooter ,0,Metropolitian ,15,13.99
36,4.6,Sunny,Jam ,Buffet ,motorcycle ,1,Metropolitian ,26,7.651
21,4.8,Sandstorms,Low ,Drinks ,motorcycle ,0,Metropolitian ,19,12.464
21,4.8,Sandstorms,Low ,Snack ,scooter ,0,Urban ,12,14.022
30,4.6,Fog,Low ,Buffet ,scooter ,0,Urban ,18,4.561
30,4.6,Sandstorms,High ,Snack ,motorcycle ,1,Metropolitian ,45,6.232
23,4.6,Fog,Low ,Snack ,motorcycle ,1,Metropolitian ,23,20.206
32,4.3,Windy,Low ,Meal ,motorcycle ,1,Metropolitian ,31,1.537
32,4.1,Sandstorms,Low ,Buffet ,motorcycle ,0,Urban ,22,2.996
27,4.5,Cloudy,Jam ,Drinks ,motorcycle ,1,Urban ,40,12.162
30,4.7,Cloudy,Low ,Meal ,scooter ,1,Metropolitian ,15,3.116
31,4.8,Cloudy,Jam ,Snack ,motorcycle ,1,Urban ,45,13.973
36,4.2,Sandstorms,Low ,Meal ,motorcycle ,1,Metropolitian ,33,1.513
28,4.6,Sandstorms,Jam ,Snack ,electric_scooter ,1,Metropolitian ,28,10.868
23,4.7,Fog,Jam ,Meal ,motorcycle ,2,Metropolitian ,47,19.688
38,5.0,Cloudy,Jam ,Drinks ,motorcycle ,0,Metropolitian ,36,17.165
36,4.9,Sandstorms,Jam ,Drinks ,scooter ,1,Metropolitian ,27,20.181
22,4.9,Cloudy,Low ,Snack ,electric_scooter ,1,Urban ,18,1.532
27,4.9,Windy,Medium ,Buffet ,electric_scooter ,1,Metropolitian ,24,10.642
28,4.6,Windy,Medium ,Snack ,scooter ,0,Metropolitian ,15,17.137
36,4.7,Cloudy,Jam ,Drinks ,motorcycle ,1,Metropolitian ,38,16.825
22,4.6,Sandstorms,Medium ,Meal ,scooter ,0,Metropolitian ,26,5.969
35,4.9,Sunny,Jam ,Meal ,scooter ,0,Metropolitian ,21,7.661
33,4.7,Stormy,Low ,Buffet ,scooter ,1,Metropolitian ,22,1.49
30,4.7,Stormy,Medium ,Snack ,motorcycle ,0,Metropolitian ,27,11.916
24,4.8,Fog,Jam ,Buffet ,motorcycle ,1,Metropolitian ,30,9.316
22,4.7,Fog,Medium ,Snack ,motorcycle ,1,Metropolitian ,30,10.711
35,4.6,Stormy,Low ,Buffet ,scooter ,0,Metropolitian ,28,10.565
21,4.7,Cloudy,High ,Drinks ,scooter ,1,Metropolitian ,23,6.051
21,4.7,Sunny,Medium ,Snack ,scooter ,1,Metropolitian ,17,9.193
39,4.3,Cloudy,Jam ,Meal ,motorcycle ,0,Metropolitian ,44,13.631
24,4.6,Fog,Low ,Buffet ,motorcycle ,1,Metropolitian ,24,3.105
26,4.7,Cloudy,Low ,Drinks ,scooter ,1,Metropolitian ,14,3.019
35,5.0,Windy,Jam ,Drinks ,scooter ,1,Metropolitian ,33,7.791
28,4.7,Stormy,Jam ,Buffet ,motorcycle ,1,Metropolitian ,29,13.612
36,4.9,Fog,Medium ,Drinks ,motorcycle ,0,Metropolitian ,40,16.831
37,4.7,Stormy,Low ,Snack ,electric_scooter ,1,Metropolitian ,17,12.417
23,4.6,Windy,Medium ,Buffet ,electric_scooter ,0,Metropolitian ,15,19.976
35,4.2,Stormy,Low ,Meal ,motorcycle ,1,Metropolitian ,31,8.938
23,4.9,Fog,Low ,Drinks ,motorcycle ,0,Metropolitian ,22,2.977
26,4.7,Cloudy,High ,Meal ,electric_scooter ,1,Metropolitian ,28,5.959
24,4.6,Fog,Low ,Buffet ,motorcycle ,1,Metropolitian ,18,3.025
28,4.6,Windy,Low ,Drinks ,motorcycle ,0,Urban ,14,1.552
25,4.8,Sunny,Low ,Snack ,scooter ,1,Metropolitian ,28,14.023
37,4.9,Windy,Low ,Snack ,motorcycle ,0,Metropolitian ,22,9.193
37,4.6,Sandstorms,Low ,Drinks ,motorcycle ,1,Metropolitian ,26,3.041
24,4.7,Windy,High ,Drinks ,motorcycle ,0,Urban ,22,1.515
31,3.7,Sandstorms,Medium ,Drinks ,motorcycle ,0,Metropolitian ,35,13.99
21,4.8,Sunny,Low ,Snack ,scooter ,0,Metropolitian ,29,16.826
28,4.6,Sandstorms,Low ,Meal ,motorcycle ,1,Metropolitian ,15,13.972
34,4.2,Fog,Jam ,Drinks ,scooter ,1,Metropolitian ,48,12.079
36,4.6,Sunny,Jam ,Snack ,motorcycle ,1,Metropolitian ,28,10.417
23,4.9,Stormy,Low ,Drinks ,motorcycle ,1,Metropolitian ,19,1.492
28,4.5,Sandstorms,Low ,Meal ,scooter ,0,Urban ,10,9.348
28,4.5,Fog,Low ,Snack ,scooter ,1,Metropolitian ,15,1.553
37,4.1,Sandstorms,Jam ,Drinks ,motorcycle ,2,Metropolitian ,33,13.989
30,4.6,Sunny,Jam ,Buffet ,scooter ,0,Metropolitian ,18,10.603
29,4.7,Stormy,Jam ,Drinks ,scooter ,1,Metropolitian ,29,10.603
34,5.0,Cloudy,Low ,Meal ,scooter ,0,Metropolitian ,25,14.022
22,4.9,Stormy,Jam ,Buffet ,motorcycle ,1,Metropolitian ,17,7.761
